"last_name, first_name",year,home_run,k_percent,barrel_batted_rate,hard_hit_percent,lack_of_run_support,p_unearned_run
"Flexen, Chris",2021,19,16.9,6.3,38.1,False,2
"Flexen, Chris",2022,17,16.1,9.0,40.0,True,4
"Foltynewicz, Mike",2016,18,21.1,6.2,37.0,False,2
"Foltynewicz, Mike",2017,20,20.7,5.4,32.9,False,4
"Foltynewicz, Mike",2018,17,27.2,6.9,34.5,True,7
"Foltynewicz, Mike",2021,35,16.6,9.2,43.0,False,2
"France, J.P.",2023,19,17.4,8.1,38.7,False,6
"Freeland, Kyle",2017,17,15.6,4.3,33.6,False,7
"Freeland, Kyle",2018,17,20.5,5.0,29.2,False,0
"Freeland, Kyle",2020,9,15.1,5.6,35.8,False,0
"Freeland, Kyle",2021,20,20.4,8.2,35.3,False,1
"Freeland, Kyle",2022,19,17.1,9.7,42.4,False,8
"Freeland, Kyle",2023,29,13.9,8.7,43.5,False,9
"Fried, Max",2019,21,24.6,4.4,39.1,False,6
"Fried, Max",2020,2,22.3,3.3,23.8,False,0
"Fried, Max",2021,15,23.7,6.3,34.3,False,5
"Fried, Max",2022,12,23.2,4.0,32.1,False,4
"Friedrich, Christian",2016,13,17.6,4.1,32.9,False,5
"Fulmer, Michael",2016,16,20.4,5.8,32.3,False,3
"Fulmer, Michael",2017,13,16.9,4.9,29.4,True,10
"Fulmer, Michael",2018,19,19.7,6.5,38.2,False,6
"Gallardo, Yovani",2015,15,15.3,2.8,34.3,True,6
"Gallardo, Yovani",2016,16,16.2,5.3,35.7,False,3
"Gallardo, Yovani",2017,24,16.3,7.1,35.1,False,1
"Gallen, Zac",2020,9,28.2,7.2,32.6,False,2
"Gallen, Zac",2021,19,26.6,7.9,43.0,False,3
"Gallen, Zac",2022,15,26.9,7.8,36.1,False,4
"Gallen, Zac",2023,22,26.0,9.2,46.2,False,6
"Garcia, Luis",2021,19,26.4,7.3,38.7,False,2
"Garcia, Luis",2022,23,24.4,7.8,36.3,False,5
"García, Jaime",2015,6,19.0,3.7,30.5,False,2
"García, Jaime",2016,26,20.2,5.7,35.3,False,5
"García, Jaime",2017,18,19.2,5.4,36.8,False,9
"Garrett, Braxton",2023,20,23.7,7.8,45.1,True,3
"Garza, Matt",2015,23,15.6,4.8,32.0,False,9
"Garza, Matt",2017,17,15.7,4.7,31.7,False,9
"Gausman, Kevin",2016,28,23.0,7.2,33.7,True,4
"Gausman, Kevin",2017,29,21.9,8.2,33.7,False,2
"Gausman, Kevin",2018,26,19.1,7.4,40.8,True,5
"Gausman, Kevin",2020,8,32.2,7.4,36.9,True,2
"Gausman, Kevin",2021,20,29.3,7.1,40.9,False,6
"Gausman, Kevin",2022,15,28.3,8.1,38.5,True,7
"Gausman, Kevin",2023,19,31.1,9.9,43.3,True,7
"Gaviglio, Sam",2018,21,19.2,6.7,40.4,False,4
"Gee, Dillon",2016,24,16.2,6.2,30.1,False,2
"Germán, Domingo",2019,30,25.8,8.8,40.1,False,5
"Gibson, Kyle",2015,18,17.7,5.0,34.4,True,5
"Gibson, Kyle",2016,20,15.9,6.1,33.5,False,6
"Gibson, Kyle",2017,24,17.5,6.9,37.9,False,4
"Gibson, Kyle",2018,23,21.7,5.7,36.4,True,9
"Gibson, Kyle",2019,23,22.7,7.5,37.8,False,13
"Gibson, Kyle",2020,12,19.3,7.2,39.6,False,4
"Gibson, Kyle",2021,17,20.6,4.9,39.1,True,3
"Gibson, Kyle",2022,24,20.1,7.5,37.5,False,4
"Gibson, Kyle",2023,23,19.5,7.6,44.5,False,0
"Gilbert, Logan",2021,17,25.4,8.8,44.6,False,1
"Gilbert, Logan",2022,19,22.7,7.1,45.6,False,5
"Gilbert, Logan",2023,29,24.5,9.0,44.6,False,3
"Giolito, Lucas",2018,27,16.1,7.0,37.1,False,5
"Giolito, Lucas",2019,24,32.3,9.4,34.6,False,2
"Giolito, Lucas",2020,8,33.7,5.6,35.4,True,3
"Giolito, Lucas",2021,27,28.0,6.7,34.2,True,4
"Giolito, Lucas",2022,24,25.4,7.5,39.0,False,4
"Giolito, Lucas",2023,41,25.7,11.0,41.6,False,10
"Glasnow, Tyler",2020,11,38.2,8.8,42.4,False,0
"Godley, Zack",2017,15,26.3,6.4,38.7,True,3
"Godley, Zack",2018,16,23.4,6.4,38.8,False,9
"Gomber, Austin",2022,20,18.0,8.5,35.9,False,3
"Gomber, Austin",2023,26,14.4,8.9,44.3,False,3
"Gonzales, Marco",2018,17,21.1,5.4,35.0,False,2
"Gonzales, Marco",2019,23,17.0,4.9,35.2,True,16
"Gonzales, Marco",2020,8,23.1,8.4,34.3,False,3
"Gonzales, Marco",2021,29,18.5,11.4,37.0,False,1
"Gonzales, Marco",2022,30,13.2,7.2,35.0,False,13
"Gonzalez, Gio",2015,8,22.3,4.8,34.1,False,5
"Gonzalez, Gio",2016,19,22.4,5.9,33.8,False,8
"Gonzalez, Gio",2017,21,22.7,4.9,27.9,False,3
"Gonzalez, Gio",2018,17,19.8,5.8,34.5,False,4
"González, Miguel",2015,24,17.5,5.7,34.8,False,2
"González, Miguel",2016,11,16.8,4.0,30.9,True,5
"González, Miguel",2017,22,14.6,6.7,35.9,False,8
"Gore, MacKenzie",2023,27,25.9,12.1,43.7,False,4
"Graveman, Kendall",2015,15,15.3,5.8,38.2,True,5
"Graveman, Kendall",2016,22,13.8,5.5,38.7,False,2
"Gray, Jon",2016,18,26.0,6.2,34.7,False,6
"Gray, Jon",2018,27,24.7,5.8,37.9,False,4
"Gray, Jon",2019,19,23.5,5.9,43.8,False,6
"Gray, Jon",2021,21,24.4,6.9,38.2,False,7
"Gray, Jon",2022,17,25.7,6.1,38.0,True,5
"Gray, Jon",2023,22,21.6,6.4,39.5,False,3
"Gray, Josiah",2022,38,23.7,10.7,36.9,False,1
"Gray, Josiah",2023,22,20.5,9.4,36.7,True,3
"Gray, Sonny",2015,17,20.3,4.5,34.6,False,8
"Gray, Sonny",2016,18,18.2,6.3,43.4,False,6
"Gray, Sonny",2017,19,22.6,6.2,38.6,True,15
"Gray, Sonny",2018,14,21.1,6.3,39.5,False,2
"Gray, Sonny",2019,17,29.0,6.8,33.3,False,3
"Gray, Sonny",2020,4,30.6,3.7,32.6,False,3
"Gray, Sonny",2021,19,27.0,4.7,32.1,False,4
"Gray, Sonny",2023,8,24.3,6.9,39.2,True,2
"Greene, Hunter",2022,24,30.9,9.4,40.1,False,2
"Greinke, Zack",2015,14,23.7,4.0,27.8,False,2
"Greinke, Zack",2016,23,20.1,6.9,30.9,False,3
"Greinke, Zack",2017,25,26.8,7.4,30.9,False,8
"Greinke, Zack",2018,28,23.7,6.4,33.5,True,3
"Greinke, Zack",2019,21,23.1,6.3,33.3,False,5
"Greinke, Zack",2020,6,24.5,8.2,35.2,True,0
"Greinke, Zack",2021,30,17.2,6.5,35.4,False,3
"Greinke, Zack",2022,14,12.5,6.8,39.6,True,9
"Greinke, Zack",2023,25,16.4,7.7,38.8,False,2
"Griffin, A.J.",2016,28,21.0,8.6,38.7,False,1
